Product,Price,Shades,Number of Shades,Description,Types,Category
Powder Kiss Liquid Lipcolour ,$24.00,"['BurningLove', 'SorryNotSorry', 'MullItOver', 'ResortSeason', 'Billion$Smile', 'MakeLoveToTheCamera', 'ALittleTamed', 'ModelOffDuty', 'DevotedToChili', 'GotACallback', '¡Escándalo!', 'M·A·Csmash', 'OverTheTaupe', 'MakeItFashun!', 'MoreTheMehr-ier', 'Crossfade', 'Date-Maker']",17,"Moisture-Matte Liquid Lipcolour, Soft-Focus/Blurred Colour, 10-Hour Weightless Moisture",Liquid Lipsitck,Lips
Retro Matte Liquid Lipcolour Metallics,$22.00,"['LoveWeapon', 'Gemz&Roses', 'MetallicRose', 'PearlPunk', ""SoftlyRockin'"", 'Quartzette', 'SilverSpoon']",7,"Liquid Lipstick, Matte Metallic Finish, Long-Lasting",Liquid Lipsitck,Lips
Grand Illusion Glossy Liquid Lipcolour,$22.00,"['SpoilYourself', 'Goldieloxxed', 'RubyPrincess', ""JustHustlin'"", ""It'SJustCandy!"", 'AutumnRusset', 'PartySparkle', ""Let'sRock"", 'PearlyGirl', 'PinkTrip', ""Queen'sViolet"", 'RaveBunny', 'SpaceBubble', 'TwinkleTwink']",14,"Holographic Shine, Full Coverage, Cooling Sensation",Liquid Lipsitck,Lips
Patent Paint Lip Lacquer,$22.00,"['SlickFlick', 'EternalSunshine', 'LatexLove', 'RedEnamel', 'MagicMirror', 'PatentPleasure', 'LacqueredUp', 'PolishedPrize', 'MajorGlazer', 'PVCYaLater', 'VinylUnderground']",11,"Non-Sticky 3D Shine, Weightless Saturated Colour, Non-Bleeding",Liquid Lipsitck,Lips
Prep + Prime Lip,$19.00,[],0,"Hydrating, Prevents Feathering, Retexturizing",Liquid Lipsitck,Lips
Lip Pencil,$18.00,"['Burgundy', 'Vino', 'Mahogany', 'Heroine', 'Chicory', 'Brick', 'Beet', 'Auburn', 'Hover', 'Stripdown', 'TalkingPoints', 'Half-Red', 'Oak', 'Magenta', 'CandyYum-Yum', 'Cork', 'BoldlyBare', 'Cherry', 'Chestnut', 'CyberWorld', 'Dervish', 'EdgetoEdge', 'Nightmoth', 'Plum', 'RubyWoo', 'Soar', 'Spice', 'Stone', 'Subculture', 'Whirl']",30,"Creamy, Professional, Artistry",Liquid Lipsitck,Lips
Lip Scrubtious,$18.00,"['CandiedNectar', 'FruitofPassion', 'SweetVanilla']",3,"Exfoliating, Hydrating, 3 Flavours",Liquid Lipsitck,Lips
Lip Conditioner (Tube),$18.00,[],0,"Hydrating, Nourishing, Conditioning",Liquid Lipsitck,Lips
Lipglass,$18.00,"['AllThingsMagical', 'CandyBox', 'Cultured', 'Nymphette', 'Dreamy', 'Prrr', 'GoodJuju', 'MagicallyDelightful', 'LycheeLuxe', 'MysticPowers', 'OysterGirl', 'VeryGoLightly', 'C-Thru', 'Spite', 'OhBaby', 'ElementalForces', 'Lust', 'BittersweetMe', 'Spice', 'ShapeshiftingPeach', 'Explicit', 'RubyWoo', 'Heroine', 'CandyYum-Yum', 'LoveChild', 'Impassioned', 'ShowingSkin', 'LoveNectar', 'DangerousCurves', 'PrettyPeppa', 'FashionPunch', 'Primordial', 'Low-Cut']",33,"Glass-Like Shine, High Coverage, M·A·C Heritage",Lip Gloss,Lips
Powerglass Plumping Lip Gloss,$21.00,"['PlumpUpTheJam', 'SeriouslyStoked', 'ComicBookEnding', 'PleasedAsPunch', 'Gee,That’sSwell!', 'Can’tBurstThisBubble']",6,"Plumps Lips Instantly/Over Time, Sheer Luscious Colour, Hydrates",Lip Gloss,Lips
Cremesheen Glass,$21.00,"['BoyBait', 'Deelight', 'FashionScoop', 'JustSuperb', 'Pagoda', 'PartialtoPink']",6,"Creamy, Cushiony, Moisturizing-Serum Blend",Lip Gloss,Lips
Versicolour Varnish Cream Lip Stain,$22.00,"['NoInterruptions', 'BittenBabe', 'ToTheExtreme', 'SerialStain', 'Effervescent', 'VarnishlyRed', 'PeachAflush', 'PlexiPink', 'TrytoStopMe', 'StuckInLove', 'ShockItToMe', 'OptixOrange', 'LikeCandy', 'CrushingIt!']",14,"High Coverage, Glossy Shine, 12-Hour Wear",Lip Gloss,Lips
Lipglass Clear ,$18.00,[],0,"Mirror-Like Shine, Conditioning, Iconic",Lip Gloss,Lips
Lipglass Clear / Mini M·A·C,$12.00,[],0,"Travel Size, Mirror-Like Shine, High Coverage",Lip Gloss,Lips
Dazzleglass,$18.00,"['BabySparks', 'PrancinDancin', 'TangerineTropica', 'DressedtoDazzle', 'GoForGold', 'ExtraAmps', 'Funtabulous', 'GetRichQuick', 'JingleJangle', 'Money,Honey', 'MothToFlame', 'PleasurePrinciple', 'RagstoRiches', 'Rollergirl', 'Sugarrimmed']",15,"3D Shine, Medium Coverage, Non-Tacky",Lip Gloss,Lips
Lipglass / Mini M·A·C,$12.00,"['LoveChild', 'CandyBox', 'C-Thru', 'Nymphette', 'OhBaby', 'OysterGirl', 'Spite']",7,"Travel-Size, Glass-Like Shine, High Coverage",Lip Gloss,Lips
Tendertalk Lip Balm,$21.00,"['CandyWrapped', 'PlayWithMe', 'PrettyMeUp']",3,"Customized Colour, Sheer Coverage, Hydrating",Lip Gloss,Lips
Lipglass / Teyana Taylor,$19.00,"[""10'sAcrossDaBoard"", ""ButAin'tGotNoManners""]",2,"Glass-Like Shine, For Every Skin Tone, Limited Edition",Lip Gloss,Lips
Lipglass / M·A·C Lover,$17.50,"['SoDevoted', 'HeyLover']",2,"Two Universally Flattering Shades, Glass-Like Shine, M∙A∙C Lover-Exclusive",Lip Gloss,Lips
Lipglass / Bronzer,$18.50,"['TooCoolForPool', 'WouldRatherLounge']",2,"Glass-Like Shine, High Coverage, Special Packaging",Lip Gloss,Lips
Lipglass / @mainedcm,$18.50,[],0,"Deep Red Shade, Glass-Like Shine, Special Edition",Lip Gloss,Lips
Patentpolish Lip Pencil,,[],0,"Lip Pencil/Gloss Hybrid, Comfortable, Bold Shine",Lip Gloss,Lips
Lip Pencil / Teyana Taylor,$19.00,"['Chestnut', 'Hodgepodge', 'CyberWorld', 'Nightmoth']",4,"Creamy, For Every Skin Tone, Limited Edition",Lip Liner,Lips
PRO Lip Palette / 6 Select Plums,$25.00,[],0,"Shades: Amorous, Twig, Verve, Captive, Hang Up, Cyber ($40 Value)",Lip Palettes,Lips
PRO Lip Palette / 6 Editorial Reds,$25.00,[],0,"Shades: Lady Danger, Ruby Woo, Russian Red, M·A·C Red, On Hold, Dare You ($40 Value)",Lip Palettes,Lips
PRO Lip Palette / 6 Modern Browns,$25.00,[],0,"Shades: Peachstock, Half N Half, Fresh Brew, Taupe, Paramount, Frenzy ($40 Value)",Lip Palettes,Lips
PRO Lip Palette / 6 Preferred Pinks,$25.00,[],0,"Shades: Pretty Please, Lovelorn, Crème De La Femme, Please Me, Show Orchid, Violetta ($40 Value)",Lip Palettes,Lips
PRO Lip Palette / 6 Editorial Oranges,$25.00,[],0,"Shades: Sandy B, Crosswires, Morange, So Chaud, Look at her, Bronze Shimmer ($40 Value)",Lip Palettes,Lips
M·A·C Pro Lip Palette Necessary Nudes ,$25.00,[],0,"Shades: Honey Love, Fleshpot, Frou, SISS, Yash, Hug Me ($40 Value)",Lip Palettes,Lips
DEVOTED TO RED LIPS QUARTET,$50.00,[],0,"4-Piece Red Lip Kit, Exclusively for M∙A∙C Devoted Members, Online Only for $50 ($72 Value)",Lip Palettes,Lips
Matte Lipstick,$19.00,"['Marrakesh', 'Soar', 'DowntoanArt', ""YouWouldn'tGetIt"", 'PinkPigeon', 'BreathingFire', 'CandyYum-Yum', 'PleaseMe', 'Mehr', 'Honeylove', 'VelvetTeddy', 'Whirl', 'Taupe', 'Yash', 'KindaSexy', 'Diva', 'Sin', 'AntiqueVelvet', 'RussianRed', 'Chili', 'DforDanger', 'LadyDanger', 'RedRock', 'TropicTonic', 'Mangrove', 'PunkCouture', 'Heroine', 'MatteRoyal', 'Kinkster', 'DoubleFudge', 'Consensual', 'LoveUBack', 'Derrière', 'ActNatural', 'SoChaud', 'SmokedPurple', 'Bronx']",37,"Creamy, Full Coverage, Matte Finish",Lipstick,Lips
Powder Kiss Lipstick,$21.00,"['DevotedToChili', 'StayCurious', 'Werk,Werk,Werk', 'ALittleTamed', 'ShockingRevelation', 'PForPotent', 'Ripened', 'MyTweedy', 'ScatteredPetals', 'Sexy,ButSweet', 'StyleShocked!', 'SultryMove', 'MandarinO', 'FallInLove', 'Impulsive', 'MullItOver', 'BurningLove', 'VelvetPunch', 'Sultriness', 'Reverence', 'LastingPassion']",21,"Weightless Soft Matte, Moisturizing, Blurs Lines and Smooths Lips",Lipstick,Lips
Love Me Lipstick,$21.00,"['GiveMeFever', 'EForEffortless', 'MyLittleSecret', ""You'reSoVain"", 'NineLives', 'BatedBreath', 'VanityBonfire', 'FrenchSilk', 'TrèsBlasé', 'Laissez-Faire', ""Daddy'sGirl"", 'UndertheCovers', 'PureNonchalance', 'MonCoeur', 'LetThemEatCake!', 'Coffee&Cigs', 'ShamelesslyVain', 'Hey,Frenchie!', 'KillingMeSoftly', 'DGAF', 'MaisonRouge', 'AsIfICare', 'JoieDeVivre', 'LaFemme']",24,"Powerful Colour, All-Day Moisture, Weightless Satin-Soft Finish",Lipstick,Lips
Retro Matte Lipstick,$19.00,"['RubyWoo', 'RelentlesslyRed', 'AllFiredUp', 'Dangerous', 'RunwayHit', 'FlatOutFabulous']",6,"Long-Wearing, Full Coverage, Completely Matte Finish",Lipstick,Lips
Lustre Lipstick,$19.00,"['SeeSheer', 'Patisserie', 'Lovelorn', 'Giddy', 'Syrup', 'Capricious', 'MilanMode', 'Plumful', 'Sweetie', 'Cockney', 'LadyBug', 'SpiceItUp!', 'Touch', 'Jubilee', 'HugMe', 'Midimauve', 'FreshBrew', 'Flamingo', 'PrettyPlease', 'Oh,YesBaby!', 'MoveYourBody', 'GoodForm']",22,"Lightweight, Sheer Buildable Coverage, Lustrous Finish",Lipstick,Lips
Satin Lipstick,$19.00,"['Snob', 'PeachyNewYear', 'GoodHealth', 'PinkNouveau', 'DelRio', 'Captive', 'Amorous', 'Twig', 'Faux', 'Brave', 'Fleshpot', 'Myth', 'Peachstock', 'Cherish', 'Spirit', 'Mocha', 'Shrimpton', 'SushiKiss', 'Retro', 'Verve', 'Photo', 'Rebel', 'Cyber', 'FilmNoir', 'Media', ""Bad'N'Bare"", 'MACRed', 'Paramount']",28,"Creamy, Medium Buildable Coverage, Satin Finish",Lipstick,Lips
Amplified Lipstick,$19.00,"['SmokedAlmond', 'DarkSide', ""S'Sexy"", 'Brick-O-La', 'Chatterbox', 'Craving', 'Cosmo', 'Blankety', ""Half'nHalf"", 'SaintGermain', 'GirlAboutTown', 'Impassioned', 'FusionPink', 'NeonOrange', 'Morange', 'ShowOrchid', 'UpTheAmp', 'Violetta', 'Dubonnet', 'FastPlay', 'BareBling', 'FeelingMyself', 'LeaveMeBreathless', 'VegasVolt']",24,"Ultra-Creamy, Full Coverage, Semi-Lustrous Finish",Lipstick,Lips
Cremesheen Lipstick,$19.00,"['BraveRed', 'DareYou', 'SweetSakura', 'DozenCarnations', 'PrettyBoy', 'Crosswires', 'Nippon', 'OnHold', 'Fanfare', 'CrèmeCup', ""Crèmed'Nude"", 'Modesty', 'PeachBlossom', 'CrèmeInYourCoffee']",14,"Creamy, Medium Buildable Coverage, Semi-Glossy Finish",Lipstick,Lips
Frost Lipstick,$19.00,"['Angel', 'NewYorkApple', 'Bombshell', 'Fabby', '“O”', 'CB96', 'BronzeShimmer', 'PlumDandy', 'PinkPower', 'Odyssey', 'ModelBehavior', 'Icon', 'CostaChic', 'FreshMoroccan', 'CrèmeDeLaFemme', 'SpoiledFabulous', 'Gel', 'Skew', 'SpanishFly', 'OnandOn', 'SoftHint']",21,"High Pearl, Medium Buildable Coverage, Semi-Lustrous Finish",Lipstick,Lips
Viva Glam Lipstick,$19.00,"['VivaGlamI', 'VivaGlamII', 'VivaGlamIII']",3,"Powerful, Philanthropic, M·A·C Heritage",Lipstick,Lips
Retro Matte Liquid Lipcolour,$22.00,"['HighDrama', 'BurntSpice', 'Caviar', 'DancewithMe', 'FashionLegacy', 'FeelsSoGrand', 'LadyBeGood', 'QuitetheStandout', 'SoMe', 'ToppedWithBrandy', 'UniformlyFabulous', 'YoungAttitude']",12,"Liquid Lipstick, Matte Finish, Long-Lasting Colour",Lipstick,Lips
Shot of Colour Lip Oil,$22.00,"['SoFullOn', 'Punch-DrunkLove', 'CompletelyBlasted', 'BangBangBaby', 'Shots!Shots!Shots!']",5,"Lightweight, Instantly Hydrates, High-Shine Saturated Colour",Lipstick,Lips
Lipstick / Teyana Taylor,$20.00,"['GoodMoaninnnn', 'IGotAMan', 'JunieBee']",3,"Remix-And-Match Shades, For Every Skin Tone, Limited Edition",Lipstick,Lips
Lipstick / Bronzer,$20.00,"['CoteD’Amour', 'SettoSizzle', 'Wham', 'ALaPlage', 'CannesDo!']",5,"Sizzling Shades, Slick Textures, Special Packaging",Lipstick,Lips
Lipstick / Selena La Reina,$20.00,[],0,"Rich Shades, Rose-Debossed Bullets, Limited Edition",Lipstick,Lips
“HAUTE” LIMITED-EDITION LIPSTICK CASE,$19.00,[],0,"Limited-Edition Lipstick Case, “Haute” Fuchsia Lips Design, Exclusively Online",Lipstick,Lips
Lipstick / Nicola Chapman ,$20.00,[],0,"Soft Peachy Coral Shade, Cremesheen Finish, Special Edition",Lipstick,Lips
Lipstick / @bonniestrange,$20.00,[],0,"Cool Pink Shade, Satin Finish, Special Edition",Lipstick,Lips
Lipstick / Sam Chapman ,$20.00,[],0,"Blue-Red Shade, Amplified Finish, Special Edition",Lipstick,Lips
TO MOM WITH LOVE LIMITED-EDITION LIPSTICK CASE X JASON NAYLOR,$19.00,[],0,"Limited-Edition Mother’s Day Lipstick Case, Holographic-Silver Heart Design, Exclusively Online",Lipstick,Lips
Lipmix,$18.50,"['Crimson', 'Red', 'Yellow', 'Orange', 'White', 'Magenta', 'MediumNude', 'DarkNude', 'Fuchsia', 'Cyan', 'Black', 'Burgundy', 'Blue']",13,"Highly Pigmented, Professional, Customizable",Lipstick,Lips
Lipmix / Gloss,$18.50,[],0,"High-Shine Gloss, Artistry, Editorial",Lipstick,Lips
Lipmix / Satin,$18.50,[],0,"Satin Sheen, Artistry, Editorial",Lipstick,Lips
Lip Erase,$22.00,"['Pale', 'Dim']",2,"CAMOUFLAGES NATURAL LIP PIGMENT, CONDITIONING, COMFORTABLE",Lipstick,Lips
Powder Kiss Soft Matte Eye Shadow,$20.00,"['DevotedtoChili', 'FallInLove', 'SoHauteRightNow', 'Ripened', 'LensBlur', 'GiveAGlam', 'BestofMe', 'Werk,Werk,Werk', 'StrikeAPose', 'WhatClout!']",10,"Pillow-Soft Formula, Diffused-Matte Finish, Weightless",Eyeshadow,Eyes
Powder Kiss Soft Matte Eye Shadow Pro Palette,$9.00,"['LensBlur', 'Ripened', 'FallInLove', 'GiveAGlam', 'Werk,Werk,Werk', 'WhatClout!', 'BestofMe', 'DevotedtoChili', 'StrikeAPose', 'SoHauteRightNow']",10,"Pillow-Soft Formula, Diffused-Matte Finish, Portable Pro Palette Pan",Eyeshadow,Eyes
Eye Shadow,$18.00,"['MintCondition', 'PowerToThePurple', 'CozyGrey', 'Stormwatch', 'Finjan', 'StarryNight', ""What'sTheWIFI?"", 'MemoriesofSpace', 'Motif!', 'Sandstone', 'Coral', 'JingleBallBronze', 'Libra', 'NaturalWilderness', 'Cobalt', 'NudeModel', 'GlitchInTheMatrix', ""Mo'MoneyMo'Problems"", 'HauteSauce', 'L.E.S.Artiste', ""That'sShowbizBaby"", ""IfItAin'tBaroque"", 'SamoaSilk', 'RoyalRendezvous', 'ShellPeach', 'RoseBeforeBros', 'Marsh', 'InLivingPink', 'ShadySanta', 'TutuGood', 'LeftYouOnRed', '#Humblebrag', 'TriennialWave', 'Greystone', 'Darkroom', 'Omega', 'Carbon', 'NakedLunch', 'Kid', 'Quarry', 'Dazzlelight', 'Ricepaper', 'Tete-A-Tint', 'Brulé', 'Shroom', 'Yogurt', 'Phloof!', 'Malt', 'Orb', 'ExpensivePink', 'Haux', 'Antiqued', 'AmberLights', 'CharcoalBrown', 'Cork', 'SatinTaupe', 'Embark', 'Brun', 'BeautyMarked', 'Concrete', 'Sketch', 'Cranberry', ""I'mIntoIt"", 'Scene', 'CherryTopped', 'PinkVenus', 'Girlie', ""Fashion'sFieldDay"", 'Paradisco', 'SuspiciouslySweet', 'Rule', 'RedBrick', 'Coquette', 'Espresso', 'Mulch', 'Sable', 'SoftBrown', 'Grain', 'Texture', 'Uninterrupted', 'Twinks', 'SwissChocolate', 'Saddle', 'Wedge', 'Woodwinked', 'Tilt', 'Print', 'Plumage', 'AtlanticBlue', 'InTheShadows', 'NewCrop', 'Steamy', 'Humid', 'ChromeYellow', 'ShockFactor', 'Vex', 'Nylon', 'Gesso', 'BlackTied', 'BlancType', ""Stars'N'Rockets"", 'Ruddy', 'Goldmine', 'Vanilla']",104,"Rich Colour, Professional, Iconic",Eyeshadow,Eyes
Dazzleshadow Extreme,$20.00,"[""ObjetD'Art"", 'CoutureCopper', 'Incinerated', 'Discotheque', 'JoieDeGlitz', 'YesToSequins', 'EmeraldCut', 'Illuminaughty', 'Celebutante', 'KissofKlimt']",10,"Molten Metallic Finish, One-Swipe Colour Payoff, 12-Hour Wear",Eyeshadow,Eyes
Dazzleshadow,$20.00,"[""It'sAllAboutShine"", 'OhSoGilty', 'DreamyBeams', 'DazzleStyle', 'MidnightShine', 'ShineDe-Light', 'ILike2Watch', 'LastDance', 'SheSparkles', 'Slow/Fast/Slow']",10,"Colour-True, High Intensity, 3D Glitter Effect",Eyeshadow,Eyes
Extra Dimension Eye Shadow,$20.00,"['ANaturalFlirt', 'AmorousAlloy', 'EveningGrey', 'FathomsDeep', 'Havana', 'LegendaryLure', 'ReadyToParty', 'SeaWorship', 'SmokyMauve', 'StolenMoment', 'SweetHeat']",11,"Hybrid Formula, High Shine, 10-Hour Wear",Eyeshadow,Eyes
Pro Longwear Paint Pot,$23.00,"['BareStudy', 'Groundwork', ""Layin'Low"", 'Painterly', 'SoftOchre', 'VintageSelection']",6,"Eye Primer/Cream Shadow, Long-Wearing, Highly Pigmented",Eyeshadow,Eyes
Cream Colour Base,$25.00,"['Hush', 'Luna', 'Pearl', 'Shell']",4,"Cream Formula, Buildable Coverage, Multi-Use",Eyeshadow,Eyes
Dazzleshadow Extreme (Pro Palette Refill Pan),$9.00,"[""ObjetD'Art"", 'Discotheque', 'JoieDeGlitz', 'Illuminaughty', 'KissofKlimt', 'CoutureCopper', 'Celebutante', 'Incinerated', 'EmeraldCut', 'YesToSequins']",10,"Molten Metallic Finish, One-Swipe Colour Payoff, Portable Pro Palette Pan",Eyeshadow,Eyes
M·A·C Studio Eye Gloss,$22.00,"['LightlyTauped', 'Médoc', 'MoneyHoney', 'PearlVarnish']",4,"Buildable Coverage, Tacky Texture, Glossy Finish",Eyeshadow,Eyes
Foiled Shadow / Bronzer,$26.00,[],0,"Wet/Dry Formula, Metallic Finish, Lightweight",Eyeshadow,Eyes
Dazzleshadow Liquid,$23.00,"['DiamondCrumbles', 'EveryDayIsSunshine', 'LoveYourself', 'RayonRays', 'StarsInMyEyes', 'FlashAndDash', 'Panthertized', 'BlinkingBrilliant', 'NotAfraidToSparkle', 'BeamTime']",10,"""SEARCH TERMSMetallic/Glitter Finishes, Smooth Lightweight Feel, 8-Hour Wear",Eyeshadow,Eyes
Pigment,$23.00,"['BlackBlack', ""Blonde'sGold"", 'BlueBrown', 'Chartreuse', 'Copper', 'CopperSparkle', 'DeepBlueGreen', 'DeepBrown', 'DeepPurple', 'EmeraldGreen', 'Gold', 'HeritageRouge', 'Hi-DefCyan', 'Kitschmas', 'LandscapeGreen', 'MarineUltra', 'Melon', 'MuseumBronze', 'Naked', 'NakedDark', 'NakedDeepDark', 'NavalBlue', 'OldGold', 'Platinum', 'PrimaryYellow', 'PureWhite', 'RichPurple', 'Rose', 'RoseGold', 'SilverFog', 'Tan', 'Vanilla', 'White', 'WhiteGold']",34,"Versatile Loose Powder, High-Intensity Colour, Easily Blendable",Eyeshadow,Eyes
Pigment / Mini M·A·C,$12.00,"['Kitschmas', 'Naked', 'CopperSparkle', 'Melon', 'BlueBrown', 'Vanilla', 'Tan', 'Rose']",8,"Travel Size, Versatile Loose Powder, High-Intensity Colour, Easily Blendable",Eyeshadow,Eyes
Art Library: Nude Model,$48.00,[],0,"12 Neutral Shades, Versatile, Full-Sized Shadows, $84 Value",Eyeshadow,Eyes
Art Library: It’s Designer,$48.00,[],0,"12 Colourful Shades, Versatile, Full-Sized Shadows, $84 value",Eyeshadow,Eyes
Art Library: Flame-boyant,$48.00,[],0,"12 Warm-Toned Shades, Versatile, Full-Sized Shadows, $84 value",Eyeshadow,Eyes
Eye Shadow x 9: Solar Glow Times Nine,$32.00,[],0,"Coordinated Smoky Browns, Professional, Portable",Eyeshadow,Eyes
Eye Shadow x 9: Dusky Rose Times Nine,$32.00,[],0,"Coordinated Dusky Roses, Professional, Portable",Eyeshadow,Eyes
Eye Shadow x 9: Amber Times Nine,$32.00,[],0,"Coordinated Ambers, Professional, Portable",Eyeshadow,Eyes
Eye Shadow x 9: Burgundy Times Nine,$32.00,[],0,"Coordinated Burgundies, Professional, Portable",Eyeshadow,Eyes
Eye Shadow x 9: Semi-Sweet Times Nine,$32.00,[],0,"Coordinated Smoky Browns, Professional, Portable",Eyeshadow,Eyes
Pro Eye Palette: The Dame,$40.00,[],0,"6 Shades, Classic Neutrals, Cream Colour Shadow",Eyeshadow,Eyes
Pro Eye Palette: The Social Climber,$40.00,[],0,"6 Shades, Golden Browns/Siennas, Cream Colour Shadow",Eyeshadow,Eyes
Pro Eye Palette: The Bad Girl,$40.00,[],0,"6 Shades, Blues/Greens, Cream Colour Shadow",Eyeshadow,Eyes
Pro Eye Palette: The Silly One,$40.00,[],0,"6 Shades, Pinks/Beiges, Cream Colour Shadow",Eyeshadow,Eyes
